idx,image_path
0,imagenet-mini/train/n01496331/n01496331_32072.JPEG
1,imagenet-mini/train/n01496331/n01496331_3153.JPEG
2,imagenet-mini/train/n01496331/n01496331_11594.JPEG
3,imagenet-mini/train/n01496331/n01496331_5102.JPEG
4,imagenet-mini/train/n01496331/n01496331_694.JPEG
5,imagenet-mini/train/n01496331/n01496331_26171.JPEG
6,imagenet-mini/train/n01496331/n01496331_32364.JPEG
7,imagenet-mini/train/n01496331/n01496331_8200.JPEG
8,imagenet-mini/train/n01496331/n01496331_9611.JPEG
9,imagenet-mini/train/n01496331/n01496331_3074.JPEG
10,imagenet-mini/train/n01496331/n01496331_27720.JPEG
11,imagenet-mini/train/n01496331/n01496331_4908.JPEG
12,imagenet-mini/train/n01496331/n01496331_19168.JPEG
13,imagenet-mini/train/n01496331/n01496331_2391.JPEG
14,imagenet-mini/train/n01496331/n01496331_14320.JPEG
15,imagenet-mini/train/n01496331/n01496331_268.JPEG
16,imagenet-mini/train/n01496331/n01496331_27203.JPEG
17,imagenet-mini/train/n01496331/n01496331_28855.JPEG
18,imagenet-mini/train/n01496331/n01496331_1660.JPEG
19,imagenet-mini/train/n01496331/n01496331_6414.JPEG
20,imagenet-mini/train/n01496331/n01496331_5892.JPEG
21,imagenet-mini/train/n01496331/n01496331_27985.JPEG
22,imagenet-mini/train/n01496331/n01496331_23066.JPEG
23,imagenet-mini/train/n01496331/n01496331_9588.JPEG
24,imagenet-mini/train/n01496331/n01496331_992.JPEG
25,imagenet-mini/train/n01496331/n01496331_18272.JPEG
26,imagenet-mini/train/n02776631/n02776631_6548.JPEG
27,imagenet-mini/train/n02776631/n02776631_31166.JPEG
28,imagenet-mini/train/n02776631/n02776631_34960.JPEG
29,imagenet-mini/train/n02776631/n02776631_4571.JPEG
30,imagenet-mini/train/n02776631/n02776631_10277.JPEG
31,imagenet-mini/train/n02776631/n02776631_9322.JPEG
32,imagenet-mini/train/n02776631/n02776631_22438.JPEG
33,imagenet-mini/train/n02776631/n02776631_42401.JPEG
34,imagenet-mini/train/n02776631/n02776631_15521.JPEG
35,imagenet-mini/train/n02776631/n02776631_32220.JPEG
36,imagenet-mini/train/n02776631/n02776631_7306.JPEG
37,imagenet-mini/train/n02776631/n02776631_30463.JPEG
38,imagenet-mini/train/n02776631/n02776631_33011.JPEG
39,imagenet-mini/train/n02776631/n02776631_54089.JPEG
40,imagenet-mini/train/n02776631/n02776631_10197.JPEG
41,imagenet-mini/train/n02776631/n02776631_1467.JPEG
42,imagenet-mini/train/n02776631/n02776631_13070.JPEG
43,imagenet-mini/train/n02776631/n02776631_8077.JPEG
44,imagenet-mini/train/n02776631/n02776631_85490.JPEG
45,imagenet-mini/train/n02776631/n02776631_73632.JPEG
46,imagenet-mini/train/n02776631/n02776631_92890.JPEG
47,imagenet-mini/train/n02776631/n02776631_7853.JPEG
48,imagenet-mini/train/n02776631/n02776631_6910.JPEG
49,imagenet-mini/train/n02776631/n02776631_43904.JPEG
50,imagenet-mini/train/n02776631/n02776631_7442.JPEG
51,imagenet-mini/train/n02112350/n02112350_7168.JPEG
52,imagenet-mini/train/n02112350/n02112350_1660.JPEG
53,imagenet-mini/train/n02112350/n02112350_7289.JPEG
54,imagenet-mini/train/n02112350/n02112350_6891.JPEG
55,imagenet-mini/train/n02112350/n02112350_1623.JPEG
56,imagenet-mini/train/n02112350/n02112350_8857.JPEG
57,imagenet-mini/train/n02112350/n02112350_4707.JPEG
58,imagenet-mini/train/n02112350/n02112350_2026.JPEG
59,imagenet-mini/train/n02112350/n02112350_10230.JPEG
60,imagenet-mini/train/n02112350/n02112350_5795.JPEG
61,imagenet-mini/train/n02112350/n02112350_3511.JPEG
62,imagenet-mini/train/n02112350/n02112350_7157.JPEG
63,imagenet-mini/train/n02112350/n02112350_984.JPEG
64,imagenet-mini/train/n02112350/n02112350_5392.JPEG
65,imagenet-mini/train/n02112350/n02112350_26.JPEG
66,imagenet-mini/train/n02112350/n02112350_2511.JPEG
67,imagenet-mini/train/n02112350/n02112350_9305.JPEG
68,imagenet-mini/train/n02112350/n02112350_9446.JPEG
69,imagenet-mini/train/n02112350/n02112350_8849.JPEG
70,imagenet-mini/train/n02112350/n02112350_2354.JPEG
71,imagenet-mini/train/n02112350/n02112350_1420.JPEG
